agent,skill_luck_verdict,evidence_label,confidence_label,final_classification,stability_classification,verdict_reason,cumulative_return,annualized_sharpe,trade_level_return_ratio,max_drawdown,RCSI,RCSI_z,p_value,adjusted_p_value,p_value_prominence,actual_percentile,number_of_trades,number_of_periods,transaction_cost,research_grade,artifact_run_id,signal_count,trades_per_month,average_holding_bars,average_holding_days,average_holding_hours,activity_status,activity_warning
trend_pullback,Random / Luck,Random / Luck,Low,random / luck,not available,"The result is statistically consistent with the null distribution. raw p=0.566; BH-adjusted p=0.858; percentile=43.5; RCSI_z=-0.293. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.6138498813157971,0.26140894703770856,0.12858850368973646,-0.1953646101394666,-0.179073594487779,-0.2927462603858563,0.5657171414292853,0.8581820201010606,0.2474006617839588,43.47826086956522,132,8032,0.00047,False,run_20260402T224112Z_pid45834,133.0,0.3538932440764555,10.431818181818182,15.204545454545457,364.90909090909093,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
breakout_volume_momentum,Random / Luck,Random / Luck,Low,random / luck,not available,"The result is statistically consistent with the null distribution. raw p=0.481; BH-adjusted p=0.858; percentile=52.0; RCSI_z=-0.099. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.4443649818304001,0.28438841203173454,0.17547197245757587,-0.13966136524708672,-0.0453640148932338,-0.0991876598644517,0.480759620189905,0.8581820201010606,0.3180720165983985,51.97401299350325,117,8032,0.00047,False,run_20260402T224112Z_pid45834,117.0,0.3113742677275509,8.88888888888889,12.863247863247864,308.71794871794873,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
mean_reversion_vol_filter,Negative Skill,Negative Skill,Low,negative skill,not available,"The result is worse than the random null on all three metrics. raw p=0.702; BH-adjusted p=0.858; percentile=29.8; RCSI_z=-0.532. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",-0.025021417714352623,-0.03626286069545206,-0.05353431397770794,-0.1000974545009381,-0.0536486906265613,-0.53218239609377,0.7021489255372314,0.8581820201010606,0.1535707643951127,29.83508245877061,16,8032,0.00047,False,run_20260402T224112Z_pid45834,16.0,0.0521469108041546,4.875,7.0625,169.5,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
trend_momentum_verification,Negative Skill,Negative Skill,Low,negative skill,not available,"The result is worse than the random null on all three metrics. raw p=0.673; BH-adjusted p=0.858; percentile=32.7; RCSI_z=-0.551. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.9147855292186464,0.39839417350713036,0.23714474331515417,-0.174322291173728,-0.5668236259365361,-0.5505834549063221,0.6731634182908546,0.8581820201010606,0.1718794929132258,32.733633183408294,100,8032,0.00047,False,run_20260402T224112Z_pid45834,100.0,0.2678414290742696,21.18,30.72,737.28,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
adx_trend_following,Negative Skill,Negative Skill,Low,negative skill,not available,"The result is worse than the random null on all three metrics. raw p=0.789; BH-adjusted p=0.867; percentile=21.2; RCSI_z=-0.804. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.556055248749959,0.2859190222909441,0.13447805071857932,-0.13482710676793808,-0.7813569404755328,-0.8044765983674869,0.7886056971514243,0.8674662668665667,0.10314008976280992,21.189405297351325,136,8032,0.00047,False,run_20260402T224112Z_pid45834,136.0,0.3637521968365553,14.764705882352942,21.551470588235293,517.2352941176471,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
uptrend_oversold_reversion,Random / Luck,Random / Luck,Low,random / luck,not available,"The result is statistically consistent with the null distribution. raw p=0.309; BH-adjusted p=0.858; percentile=69.1; RCSI_z=0.453. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.20208798771521774,0.20865396283951126,0.15397482818370137,-0.1051233736586682,0.0935426310952392,0.453438958827863,0.3093453273363318,0.8581820201010606,0.5095564396160934,69.11544227886057,78,8032,0.00047,False,run_20260402T224112Z_pid45834,78.0,0.2202546618424715,3.782051282051282,5.653846153846154,135.69230769230768,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
volatility_squeeze_breakout,Random / Luck,Random / Luck,Low,random / luck,not available,"The result is statistically consistent with the null distribution. raw p=0.597; BH-adjusted p=0.858; percentile=40.4; RCSI_z=-0.295. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.10779058592526836,0.15325690250661125,0.2022804148661606,-0.06678930572374875,-0.0700347065658202,-0.295229765985062,0.5967016491754122,0.8581820201010606,0.22424276184286115,40.379810094952525,30,8032,0.00047,False,run_20260402T224112Z_pid45834,30.0,0.0813691855284263,12.733333333333333,18.266666666666666,438.4,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
connors_rsi2_pullback,Moderate Skill,Moderate Skill,High,moderate skill,not available,"The result is statistically strong, but not at the highest tier. raw p=0.036; BH-adjusted p=0.401; percentile=96.4; RCSI_z=1.988. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.48008478713557823,0.4509459814057518,0.27622561772802423,-0.11073541715985769,0.3938715362083387,1.9883668365612528,0.0364817591204397,0.4012993503248375,1.4379242285157565,96.40179910044976,103,8032,0.00047,False,run_20260402T224112Z_pid45834,103.0,0.2806178392409594,2.6019417475728157,3.679611650485437,88.31067961165049,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
donchian_trend_reentry,Negative Skill,Negative Skill,Low,negative skill,not available,"The result is worse than the random null on all three metrics. raw p=0.874; BH-adjusted p=0.874; percentile=12.6; RCSI_z=-1.031. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.2065261873923201,0.15219963394841587,0.08349671017003726,-0.22074449018555675,-0.7375158451514154,-1.0312883897116742,0.8740629685157422,0.8740629685157422,0.05845727915753486,12.643678160919542,105,8032,0.00047,False,run_20260402T224112Z_pid45834,105.0,0.2847414023521026,14.60952380952381,21.4,513.6,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
turn_of_month_seasonality,Random / Luck,Random / Luck,Low,random / luck,not available,"The result is statistically consistent with the null distribution. raw p=0.450; BH-adjusted p=0.858; percentile=55.0; RCSI_z=0.001. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.4505427381767553,0.2833889797093207,0.10281816110950458,-0.14159319539491577,0.000427441123406,0.0009210910265485,0.4502748625687156,0.8581820201010606,0.3465222976571485,55.02248875562219,231,8032,0.00047,False,run_20260402T224112Z_pid45834,231.0,0.6094887742718447,4.523809523809524,6.4978354978354975,155.94805194805195,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
