agent,skill_luck_verdict,evidence_label,confidence_label,final_classification,stability_classification,verdict_reason,cumulative_return,annualized_sharpe,trade_level_return_ratio,max_drawdown,RCSI,RCSI_z,p_value,adjusted_p_value,p_value_prominence,actual_percentile,number_of_trades,number_of_periods,transaction_cost,research_grade,artifact_run_id,signal_count,trades_per_month,average_holding_bars,average_holding_days,average_holding_hours,activity_status,activity_warning
trend_pullback,Random / Luck,Random / Luck,Low,random / luck,unstable,"The result is statistically consistent with the null distribution. raw p=0.530; BH-adjusted p=0.881; percentile=47.0; RCSI_z=-0.144. Robustness stability: unstable. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.3604551891614487,0.3876299916577352,0.2111282897755784,-0.18933632255987798,-0.0439329496450406,-0.1439873211894697,0.5302348825587206,0.8810594702648675,0.2755317047348707,47.026486756621686,56,3596,0.00047,False,run_20260402T205030Z_pid10953,56.0,0.3430958132045089,12.410714285714286,18.017857142857142,432.42857142857144,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
breakout_volume_momentum,Negative Skill,Negative Skill,Low,negative skill,stable,"The result is worse than the random null on all three metrics. raw p=0.881; BH-adjusted p=0.881; percentile=11.9; RCSI_z=-1.129. Robustness stability: stable. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.01359391952650757,0.04377204034082429,0.02227003083008453,-0.12687100426285125,-0.2803174172234553,-1.1291570975898066,0.8810594702648675,0.8810594702648675,0.0549947763368894,11.944027986006995,56,3596,0.00047,False,run_20260402T205030Z_pid10953,56.0,0.3390690272528346,8.714285714285714,12.839285714285714,308.14285714285717,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
mean_reversion_vol_filter,Random / Luck,Random / Luck,Low,random / luck,stable,"The result is statistically consistent with the null distribution. raw p=0.438; BH-adjusted p=0.881; percentile=56.3; RCSI_z=0.188. Robustness stability: stable. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.03209607020909888,0.11345181038690276,0.14063897134870973,-0.07108218454842996,0.0117108208279356,0.1881563341315602,0.4377811094452773,0.8810594702648675,0.35874298246813074,56.271864067966014,8,3596,0.00047,False,run_20260402T205030Z_pid10953,8.0,0.063066563066563,5.375,7.625,183.0,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
momentum_relative_strength,Random / Luck,Random / Luck,Low,random / luck,stable,"The result is statistically consistent with the null distribution. raw p=0.816; BH-adjusted p=0.881; percentile=18.5; RCSI_z=-0.425. Robustness stability: stable. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.8223302392308101,0.35428583037057754,0.04788523120492276,-0.3622587188216276,-1.617842260481694,-0.4251635457366711,0.815592203898051,0.8810594702648675,0.08852693421836906,18.490754622688655,686,3595,0.00047,False,run_20260402T205030Z_pid10953,686.0,4.010780829811756,4.631195335276968,6.711370262390671,161.0728862973761,acceptable,Trade activity is in a reasonable range for daily research and null-hypothesis testing.
trend_momentum_verification,Negative Skill,Negative Skill,Low,negative skill,stable,"The result is worse than the random null on all three metrics. raw p=0.724; BH-adjusted p=0.881; percentile=27.6; RCSI_z=-0.651. Robustness stability: stable. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.4509434978449782,0.5269455129667694,0.28642675968638776,-0.11951533026526562,-0.2780796113048047,-0.651238669920372,0.7241379310344828,0.8810594702648675,0.1401787031650368,27.636181909045476,47,3596,0.00047,False,run_20260402T205030Z_pid10953,47.0,0.2815513678409762,21.51063829787234,31.404255319148938,753.7021276595744,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
adx_trend_following,Negative Skill,Negative Skill,Low,negative skill,stable,"The result is worse than the random null on all three metrics. raw p=0.861; BH-adjusted p=0.881; percentile=14.0; RCSI_z=-1.028. Robustness stability: stable. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.31626016732728846,0.38241102982237163,0.16213962920051736,-0.10173059873308521,-0.4706308656404433,-1.0281815138287482,0.8605697151424287,0.8810594702648675,0.06521394151857546,13.993003498250877,73,3596,0.00047,False,run_20260402T205030Z_pid10953,73.0,0.4420006962403023,14.835616438356164,21.726027397260275,521.4246575342465,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
uptrend_oversold_reversion,Random / Luck,Random / Luck,Low,random / luck,moderately variable,"The result is statistically consistent with the null distribution. raw p=0.503; BH-adjusted p=0.881; percentile=49.7; RCSI_z=-0.008. Robustness stability: moderately variable. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.06203986910031212,0.16270153457883874,0.12781575335696493,-0.06026672955839274,-0.0009728415595154,-0.0084191283828982,0.5032483758120939,0.8810594702648675,0.29821761808259345,49.72513743128435,38,3596,0.00047,False,run_20260402T205030Z_pid10953,38.0,0.2276820866141732,3.631578947368421,5.526315789473684,132.6315789473684,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
volatility_squeeze_breakout,Negative Skill,Negative Skill,Low,negative skill,moderately variable,"The result is worse than the random null on all three metrics. raw p=0.816; BH-adjusted p=0.881; percentile=18.5; RCSI_z=-0.873. Robustness stability: moderately variable. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",-0.009504487490650027,-0.022186105465083705,-0.03350020580129306,-0.08347871900836112,-0.1068720999186221,-0.872750098483181,0.815592203898051,0.8810594702648675,0.08852693421836906,18.490754622688655,14,3596,0.00047,False,run_20260402T205030Z_pid10953,14.0,0.0858084977849375,11.857142857142858,16.428571428571427,394.2857142857143,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
random,Negative Skill,Negative Skill,Low,negative skill,unstable,"The result is worse than the random null on all three metrics. raw p=0.780; BH-adjusted p=0.881; percentile=22.1; RCSI_z=-0.799. Robustness stability: unstable. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.873401927861883,0.4273672382037299,0.1491411961897008,-0.2699065082630705,-0.5118746954957393,-0.7988924959382091,0.7796101949025487,0.8810594702648675,0.10812249028174983,22.08895552223888,135,3596,0.00047,False,run_20260402T205030Z_pid10953,135.0,0.7903563185227928,12.296296296296296,18.066666666666663,433.6,acceptable,Trade activity is in a reasonable range for daily research and null-hypothesis testing.
buy_and_hold,Benchmark,Benchmark Reference,Not Applicable,benchmark,not_applicable,Passive benchmark included for strategy context; not evaluated against the Monte Carlo skill-vs-luck null.,5.6726167817204765,0.830453784887308,,-0.3399300390363302,,,,,,,,3716,0.00047,,,,,,,,,
