agent,skill_luck_verdict,evidence_label,confidence_label,final_classification,stability_classification,verdict_reason,cumulative_return,annualized_sharpe,trade_level_return_ratio,max_drawdown,RCSI,RCSI_z,p_value,adjusted_p_value,p_value_prominence,actual_percentile,number_of_trades,number_of_periods,transaction_cost,research_grade,artifact_run_id,signal_count,trades_per_month,average_holding_bars,average_holding_days,average_holding_hours,activity_status,activity_warning
trend_pullback,Strong Skill,Strong Skill,High,strong skill,not available,"All three metrics point to a strong edge over the null distribution. raw p=0.012; BH-adjusted p=0.132; percentile=98.9; RCSI_z=2.558. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.2700016450558482,0.2870890569679162,0.23679769837797013,-0.08049651717487416,0.3451513014339042,2.5576629741499683,0.0119940029985007,0.1319340329835082,1.9210358469246072,98.85057471264368,60,5476,0.00047,False,run_20260402T215002Z_pid24021,60.0,0.2390379581151832,14.083333333333334,19.8,475.2,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
breakout_volume_momentum,Random / Luck,Random / Luck,Low,random / luck,not available,"The result is statistically consistent with the null distribution. raw p=0.394; BH-adjusted p=0.568; percentile=60.7; RCSI_z=0.252. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",-0.012008961617065994,-0.002466816539885773,-0.005799729068099609,-0.10364173935546561,0.0282935334893442,0.2518847305374606,0.3938030984507746,0.5677161419290355,0.4047208711466561,60.66966516741629,51,5476,0.00047,False,run_20260402T215002Z_pid24021,51.0,0.2030493786788751,10.07843137254902,14.352941176470589,344.47058823529414,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
mean_reversion_vol_filter,Random / Luck,Random / Luck,Low,random / luck,not available,"The result is statistically consistent with the null distribution. raw p=0.559; BH-adjusted p=0.568; percentile=44.2; RCSI_z=-0.191. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",-0.04868196263595759,-0.1216885404290265,-0.0843256919851165,-0.08537925710692751,-0.0175633504523054,-0.1905696094879992,0.55872063968016,0.5677161419290355,0.2528052850858069,44.17791104447776,47,5476,0.00047,False,run_20260402T215002Z_pid24021,47.0,0.1882071437968688,6.425531914893617,8.76595744680851,210.38297872340425,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
trend_momentum_verification,Weak Skill,Weak Skill,Moderate,weak skill,not available,"There is some evidence of edge, but it remains modest. raw p=0.107; BH-adjusted p=0.568; percentile=89.3; RCSI_z=1.221. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.13545294537354136,0.24559769434701992,0.1725449936867072,-0.09512397647919602,0.1664575101006647,1.2208537703417324,0.1074462768615692,0.5677161419290355,0.9688086287206061,89.30534732633684,42,5476,0.00047,False,run_20260402T215002Z_pid24021,42.0,0.1675239156073908,16.761904761904763,23.642857142857142,567.4285714285714,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
adx_trend_following,Random / Luck,Random / Luck,Low,random / luck,not available,"The result is statistically consistent with the null distribution. raw p=0.423; BH-adjusted p=0.568; percentile=57.7; RCSI_z=0.121. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",-0.03336580959734681,-0.03835465883531005,-0.03052520623852891,-0.16531262297743332,0.0173620450706422,0.1211210832657858,0.4232883558220889,0.5677161419290355,0.37336367830550454,57.721139430284865,53,5476,0.00047,False,run_20260402T215002Z_pid24021,53.0,0.2110397043432758,17.11320754716981,24.452830188679247,586.8679245283018,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
uptrend_oversold_reversion,Random / Luck,Random / Luck,Low,random / luck,not available,"The result is statistically consistent with the null distribution. raw p=0.427; BH-adjusted p=0.568; percentile=57.3; RCSI_z=0.118. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",-0.02297925591493044,-0.06447290176716787,-0.05147048679096391,-0.09208854243717801,0.0099719799306766,0.1180022982002529,0.4272863568215892,0.5677161419290355,0.36928097390803877,57.32133933033483,38,5476,0.00047,False,run_20260402T215002Z_pid24021,38.0,0.1524281760674749,6.105263157894737,8.394736842105264,201.47368421052633,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
volatility_squeeze_breakout,Random / Luck,Random / Luck,Low,random / luck,not available,"The result is statistically consistent with the null distribution. raw p=0.526; BH-adjusted p=0.568; percentile=47.4; RCSI_z=-0.077. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",-0.01735043106823886,-0.06994802191458381,-0.09878884105407343,-0.07373513804460063,-0.0057236996875256,-0.0774794696950127,0.5262368815592204,0.5677161419290355,0.27881871745072484,47.426286856571714,17,5476,0.00047,False,run_20260402T215002Z_pid24021,17.0,0.07939811262851,10.470588235294118,14.823529411764708,355.7647058823529,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
connors_rsi2_pullback,Random / Luck,Random / Luck,Low,random / luck,not available,"The result is statistically consistent with the null distribution. raw p=0.272; BH-adjusted p=0.568; percentile=72.8; RCSI_z=0.559. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.013516844882383028,0.06341066453071095,0.04638029204980278,-0.05480289409077477,0.0388055549690444,0.5590845823833867,0.2723638180909545,0.5677161419290355,0.564850586359569,72.8135932033983,47,5476,0.00047,False,run_20260402T215002Z_pid24021,47.0,0.1881823862141541,3.297872340425532,4.446808510638298,106.72340425531917,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
donchian_trend_reentry,Random / Luck,Random / Luck,Low,random / luck,not available,"The result is statistically consistent with the null distribution. raw p=0.372; BH-adjusted p=0.568; percentile=62.9; RCSI_z=0.299. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.023809806885226825,0.06762561506271668,0.062408144223930914,-0.0962724922885605,0.029691356743089,0.2986618731941276,0.3718140929535232,0.5677161419290355,0.42967415309033274,62.86856571714144,25,5476,0.00047,False,run_20260402T215002Z_pid24021,25.0,0.105451427383592,13.84,19.76,474.24,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
turn_of_month_seasonality,Random / Luck,Random / Luck,Low,random / luck,not available,"The result is statistically consistent with the null distribution. raw p=0.568; BH-adjusted p=0.568; percentile=43.3; RCSI_z=-0.204. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",-0.07606348760767034,-0.1570286622266404,-0.07753047738323397,-0.08769173602150881,-0.0228622108801152,-0.2041819655560604,0.5677161419290355,0.5677161419290355,0.2458687572612113,43.278360819590205,106,5476,0.00047,False,run_20260402T215002Z_pid24021,106.0,0.4205937948116283,4.39622641509434,6.179245283018868,148.30188679245282,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
